X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
48.4576,0.1,-1.33,-0.88,-1.11,2,3,2,4,8,1,2,3,2,3,0,0,0,0,0,0.0,0.0,1.0,0.0
44.3952,0.95,1.1,0.52,0.13,1,1,4,6,6,1,3,4,4,3,0,1,0,0,0,0.0,0.0,1.0,0.0
63.4612,0.95,-0.16,0.67,0.7,1,1,4,10,10,1,3,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
44.0829,-0.61,0.06604246807201108,-1.63,-0.3590853994490358,4,4,2,6,2,2,2,3,3,2,1,1,0,0,1,1.0,1.0,1.0,0.0
48.6641,-0.58,0.06604246807201108,-0.98,-0.07,3,3,2,4,2,2,3,3,3,3,0,1,0,0,1,0.0,0.0,1.0,0.0
60.5927,1.62,0.25,-0.04,1.27,1,1,5,6,10,1,4,4,3,4,0,1,0,0,0,0.0,0.0,2.0,0.0
59.9612,0.53,-1.33,1.59,1.09,3,3,5,6,9,1,4,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
31.5739,0.07527073240239386,-2.91,-2.08,-0.41,2,1,4,6,3,2,3,2,3,2,0,1,0,1,0,0.0,1.0,1.0,0.0
64.3005,0.07527073240239386,0.25,-0.04,-0.36,2,1,4,8,10,1,4,3,3,3,0,1,0,1,0,0.0,0.0,1.0,0.0
36.2888,-0.17,-0.89,-0.73,-1.27,3,3,3,6,8,1,2,3,3,3,0,0,0,0,0,0.0,0.0,1.0,0.0
46.8259,-0.56,-0.17,-0.04,-0.3590853994490358,4,3,2,6,2,1,2,3,2,3,1,1,0,0,0,0.0,1.0,2.0,0.0
64.5217,0.07527073240239386,0.56,-0.39,-0.3590853994490358,1,1,7,10,10,1,4,4,4,3,0,1,0,1,0,0.0,0.0,1.0,0.0
42.3415,-0.56,-1.63,-0.39,-0.01,3,5,2,2,4,2,4,4,2,3,0,0,1,0,0,0.0,1.0,1.0,0.0
40.5817,0.1,0.25,0.55,-1.41,1,1,4,6,8,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
64.0675,1.62,1.1,0.7,-2.73,1,1,2,10,6,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
62.2617,-0.58,0.25,0.45,-0.3590853994490358,2,1,3,9,6,1,4,3,2,3,1,1,0,0,0,0.0,0.0,1.0,0.0
57.2458,1.21,1.83,-0.41,-0.37,2,3,2,2,8,1,3,4,4,2,0,0,0,0,0,0.0,0.0,1.0,0.0
71.7701,0.51,0.06604246807201108,0.78,-2.24,1,1,4,6,8,1,3,3,3,3,0,1,0,0,1,0.0,0.0,1.0,0.0
